binary_name,dependency_name
ktrace,libsrm_client_cmd.so
ktrace,libc.so.3
LayerManagerControl,libilmClient.cpp-ne.so.1
LayerManagerControl,libcommunication.cpp-ne.so
LayerManagerControl,libbacktrace.so.1
LayerManagerControl,libcpp-ne.so.4
LayerManagerControl,libc.so.3
LayerManagerService,libcommunication_graphics.cpp-ne.so
LayerManagerService,libcommunication.cpp-ne.so
LayerManagerService,libbacktrace.so.1
LayerManagerService,libscreen.so.1
LayerManagerService,libGLESv2.so.1
LayerManagerService,libEGL.so.1
LayerManagerService,libcpp-ne.so.4
LayerManagerService,libc.so.3
lsscreen,libcommunication.cpp-ne.so
lsscreen,libz.so.2
lsscreen,libcpp-ne.so.4
lsscreen,libc.so.3
malloc_backtrace,libsrm_client.so
malloc_backtrace,libsrm_client_cmd.so
malloc_backtrace,libc.so.3
malloc_stats,libsrm_client.so
malloc_stats,libsrm_client_cmd.so
malloc_stats,libc.so.3
mediadetector,libsys_colibry.cpp-ne.so.7
mediadetector,libsys_trace_clienttrace.cpp-ne.so.7
mediadetector,libsys_dsi_trace.cpp-ne.so.6
mediadetector,libsys_dsi_colibry.cpp-ne.so.8
mediadetector,libsys_colibry_net.cpp-ne.so.7
mediadetector,libsys_dsi_servicebroker.cpp-ne.so.4
mediadetector,libsocket.so.3
mediadetector,libSysMoCCAFrameworkSharedSo.cpp-ne.so.11
mediadetector,libwdgadapter.so.1
mediadetector,libheartbeat.so.3
mediadetector,libcpp-ne.so.4
mediadetector,libc.so.3
mediainfo-nand,libsys_colibry.cpp-ne.so.7
mediainfo-nand,libsys_trace_clienttrace.cpp-ne.so.7
mediainfo-nand,libsys_dsi_trace.cpp-ne.so.6
mediainfo-nand,libsys_dsi_colibry.cpp-ne.so.8
mediainfo-nand,libsys_colibry_net.cpp-ne.so.7
mediainfo-nand,libsys_dsi_servicebroker.cpp-ne.so.4
mediainfo-nand,libsocket.so.3
mediainfo-nand,libSysMoCCAFrameworkSharedSo.cpp-ne.so.11
mediainfo-nand,libwdgadapter.so.1
mediainfo-nand,libheartbeat.so.3
mediainfo-nand,libcpp-ne.so.4
mediainfo-nand,libc.so.3
memphys,libsrm_client.so
memphys,libsrm_client_cmd.so
memphys,libc.so.3
most,libsys_colibry.cpp-ne.so.7
most,libsys_trace_clienttrace.cpp-ne.so.7
most,libsys_dsi_trace.cpp-ne.so.6
most,libsys_dsi_colibry.cpp-ne.so.8
most,libsys_colibry_net.cpp-ne.so.7
most,libsys_dsi_servicebroker.cpp-ne.so.4
most,libsocket.so.3
most,libSysMoCCAFrameworkSharedSo.cpp-ne.so.11
most,libwdgadapter.so.1
most,libheartbeat.so.3
most,libimp_sys_most_base_nbt.cpp-ne.so.17
most,libcpp-ne.so.4
most,libc.so.3
optdrivectl,libsys_colibry.cpp-ne.so.7
optdrivectl,libsys_trace_clienttrace.cpp-ne.so.7
optdrivectl,libsys_dsi_trace.cpp-ne.so.6
optdrivectl,libsys_dsi_colibry.cpp-ne.so.8
optdrivectl,libsys_colibry_net.cpp-ne.so.7
optdrivectl,libsys_dsi_servicebroker.cpp-ne.so.4
optdrivectl,libsocket.so.3
optdrivectl,libSysMoCCAFrameworkSharedSo.cpp-ne.so.11
optdrivectl,libwdgadapter.so.1
